"row_type","chapter","section","what_you_are_deciding","current_state","keep_as_is","change_to","add","remove","merge_split","reason_notes","final_decision","appendix_ref","snapshot"
"review","1. Terminology And Naming Review","1.1 Product Terminology","Decide the final product-level words and identifiers the backend should use.","product name currently appears as Task Force 20 Personnel Management System; public/protected split currently appears as public recruiting/front-door site and protected PMS; backend style is currently hybrid REST; operational source of truth is currently described as database-only operational source of truth","","","","","","","",""
"review","1. Terminology And Naming Review","1.2 Personnel Terminology","Decide the final personnel-facing words and identifiers the backend should use.","personnel identity field is currently name; there is no distinction between schema wording and user-facing wording here; current personnel domain terms include PersonnelStatus, goodStanding, StaffSection, and MOS","","","","","","","",""
"review","1. Terminology And Naming Review","1.3 Workflow Terminology","Decide the final workflow words and action labels the backend should use.","applicant workflow model is Application; recruiter review action is recommend; target-unit workflow currently uses assign-unit, accept, and reject; LOA wording is LoaRequest and LOA; attendance correction action is correct; support queue wording uses SupportTicket and queueKey","","","","","","","",""
"review","1. Terminology And Naming Review","1.4 Route And Action Naming","Decide the final route family and action naming used in the backend contract.","current route families already in use are /auth/*, /me/*, /applications/*, and /personnel/*; future route families already planned include /loa/*, /events/*, /attendance/*, /training/*, /qualifications/*, /promotions/*, /awards/*, /support/*, /notifications/*, /audit/*, /access/*, and /bootstrap/*","","","","","","","",""
"review","1. Terminology And Naming Review","1.5 Permission Namespace Wording","Decide the final permission namespace wording and grouping.","permission keys use the module.action shape; current namespace families include accounts, access, catalogs, applications, personnel, events, attendance, loa, training, serviceRecords, support, audit, notifications, and integrations","","","","","","","",""
"review","1. Terminology And Naming Review","1.6 Audit And Integration Wording","Decide the final audit and integration wording used by the backend.","audit model is AuditLog; integration model is IntegrationLog; audit severity enum is AuditSeverity; integration status enum is IntegrationLogStatus; protected write marker is protectedWrite","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Identity And Access Models","Decide the final identity and access model structure.","models in this group: Account, AuthIdentity, Session, SessionRevocation, Role, Permission, PermissionGrant, RoleAssignment, AccountRecoveryRequest, AccessBootstrap","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Catalogs And Organization Models","Decide the final catalog and organization model structure.","models in this group: Unit, Rank, Billet, StaffSection, MOS","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Personnel Models","Decide the final personnel model structure.","models in this group: PersonnelProfile, PersonnelStatusHistory, PersonnelRankHistory, PersonnelUnitAssignment, PersonnelBilletAssignment, PersonnelMOSHistory, StaffAssignment, PersonnelStandingHistory","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Recruiting Models","Decide the final recruiting model structure.","models in this group: Application, ApplicationAnswer, ApplicationStatusHistory, ApplicationReviewNote","","","","","","","",""
"review","2. Schema And Enum Review","2.1 LOA, Events, And Attendance Models","Decide the final LOA, events, and attendance model structure.","models in this group: EventTemplate, Event, EventAttendance, LoaRequest","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Training And Qualifications Models","Decide the final training and qualification model structure.","models in this group: TrainingCourse, Qualification, CourseQualification, TrainingRecord, PersonnelQualification","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Promotions, Awards, And Restricted Records Models","Decide the final promotions, awards, and restricted-record model structure.","models in this group: PromotionRequest, PromotionRecord, Award, AwardRequest, AwardRecord, DisciplinaryRecord, AdministrativeNote","","","","","","","",""
"review","2. Schema And Enum Review","2.1 Support, Notifications, Audit, And Integrations Models","Decide the final support, notification, audit, and integration model structure.","models in this group: SupportTicket, SupportTicketComment, Notification, AuditLog, IntegrationLog","","","","","","","",""
"review","2. Schema And Enum Review","2.2 Enums","Decide the final enum names and enum values used by the backend.","the backend currently uses enums for account status, auth provider, scope, recovery/bootstrap/session lifecycle, catalogs, personnel, applications, assignments, events, attendance, LOA, qualifications, shared request status, visibility, support, notifications, audit, and integrations; exact current enum values are listed in Appendix A","","","","","","","","A",""
"review","2. Schema And Enum Review","2.3 Identity And Access Field Changes","Capture important field-level changes for identity and access models.","use this row for field-level changes not already clear from the model-group decisions above","","","","","","","",""
"review","2. Schema And Enum Review","2.3 Catalogs And Organization Field Changes","Capture important field-level changes for catalog and organization models.","use this row for field-level changes not already clear from the model-group decisions above","","","","","","","",""
"review","2. Schema And Enum Review","2.3 Personnel Field Changes","Capture important field-level changes for personnel models.","use this row for field-level changes not already clear from the model-group decisions above","","","","","","","",""
"review","2. Schema And Enum Review","2.3 Recruiting Field Changes","Capture important field-level changes for recruiting models.","use this row for field-level changes not already clear from the model-group decisions above","","","","","","","",""
"review","2. Schema And Enum Review","2.3 Operations, Training, Support, Audit, And Integrations Field Changes","Capture important field-level changes for the remaining operational model groups.","use this row for field-level changes not already clear from the model-group decisions above","","","","","","","",""
"review","3. Catalog Review","3.1 Catalog-Wide Rules","Decide the final catalog-wide rules, lifecycle, and change policy.","catalog version is currently 2026-06-02-step1; catalog policy is currently repo-driven, additive by default, and non-destructive for referenced records; catalog lifecycle currently uses Draft, Active, Inactive, and Archived","","","","","","","",""
"review","3. Catalog Review","3.2 Roles","Decide the final role keys, names, and grant boundaries.","seeded role keys currently are pending-user, member, recruiter, unit-staff, command-staff, trainer, and system-admin","","","","","","","","B",""
"review","3. Catalog Review","3.3 Permissions","Decide the final permission keys, sensitive categories, and recent-auth requirements.","permissions are currently seeded and grouped under the namespace families listed in Section 1.5; exact current permissions are listed in Appendix B","","","","","","","","B",""
"review","3. Catalog Review","3.4 Units","Decide the final unit list, codes, hierarchy, and ordering.","current unit tree has TF20, TF20-RANGER-A, TF20-SFOD-A1, and TF20-SOAR-B160","","","","","","","","C",""
"review","3. Catalog Review","3.5 Ranks","Decide the final rank list, names, abbreviations, categories, and order.","current seeded ranks include officer, warrant officer, and enlisted values; exact current rank entries are listed in Appendix C","","","","","","","","C",""
"review","3. Catalog Review","3.6 Billets","Decide the final billet inventory, wording, categories, and placement.","billets are currently seeded for the Ranger, SFOD, and SOAR unit entries; exact current billet entries are listed in Appendix D","","","","","","","","D",""
"review","3. Catalog Review","3.7 Staff Sections","Decide the final staff section list and names.","only one staff section is currently seeded: J2","","","","","","","","E",""
"review","3. Catalog Review","3.8 MOS","Decide the final MOS list, codes, names, and categories.","MOS entries are currently seeded with infantry, engineer, fires, signal, medical, aviation, and special forces examples; exact current entries are listed in Appendix E","","","","","","","","E",""
"review","3. Catalog Review","3.9 Training Courses","Decide whether training courses should be seeded now and what their structure should be.","no training courses are currently seeded","","","","","","","","G",""
